rep_product_id,brand,model,category,capacity,variants,min_price,coupang_search_url,coupang_url
224,미니멀웍스,파프리카,백패킹텐트,2,1,400500,https://www.coupang.com/np/search?q=%EB%AF%B8%EB%8B%88%EB%A9%80%EC%9B%8D%EC%8A%A4+%ED%8C%8C%ED%94%84%EB%A6%AC%EC%B9%B4,https://link.coupang.com/a/ewu0HqmK5I
739,미니멀웍스,폼므,백패킹텐트,2,4,430000,https://www.coupang.com/np/search?q=%EB%AF%B8%EB%8B%88%EB%A9%80%EC%9B%8D%EC%8A%A4+%ED%8F%BC%EB%AF%80,https://link.coupang.com/a/ewu2toHduK
33,반고,소울 100 딥,백패킹텐트,1,1,108800,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%EC%86%8C%EC%9A%B8+100+%EB%94%A5,https://link.coupang.com/a/ewvJwQA8Oq
223,반고,소울 200,백패킹텐트,2,1,144000,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%EC%86%8C%EC%9A%B8+200,https://link.coupang.com/a/ewvMo2YOY0
142,반고,소울 200 딥,백패킹텐트,2,1,120700,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%EC%86%8C%EC%9A%B8+200+%EB%94%A5,https://link.coupang.com/a/ewvMo2YOY0
268,반고,소울 300,백패킹텐트,3,1,174396,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%EC%86%8C%EC%9A%B8+300,https://link.coupang.com/a/ewvQMfAqLk
148,반고,소울 300 딥 텐트,백패킹텐트,3,1,139400,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%EC%86%8C%EC%9A%B8+300+%EB%94%A5+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewvQMfAqLk
161,반고,클래식 인스탄트 300 딥 퀵텐트,백패킹텐트,3,1,241400,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%ED%81%B4%EB%9E%98%EC%8B%9D+%EC%9D%B8%EC%8A%A4%ED%83%84%ED%8A%B8+300+%EB%94%A5+%ED%80%B5%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewvTbn2A5k
241,반고,헤일로 300 파미르,백패킹텐트,3,1,428400,https://www.coupang.com/np/search?q=%EB%B0%98%EA%B3%A0+%ED%97%A4%EC%9D%BC%EB%A1%9C+300+%ED%8C%8C%EB%AF%B8%EB%A5%B4,https://link.coupang.com/a/ewvT3slhfg
10,백컨트리,재너두 2P DAC 익스패디션,백패킹텐트,2,1,506350,https://www.coupang.com/np/search?q=%EB%B0%B1%EC%BB%A8%ED%8A%B8%EB%A6%AC+%EC%9E%AC%EB%84%88%EB%91%90+2P+DAC+%EC%9D%B5%EC%8A%A4%ED%8C%A8%EB%94%94%EC%85%98,https://link.coupang.com/a/ewvZNBIGNo
